,cdf,End to End Latency
0,0.0,0.16779687726240286
1,0.01,0.16779687726240286
2,0.02,0.16779687726240286
3,0.03,0.16779687726240286
4,0.04,0.16779687726240286
5,0.05,0.16779687726240286
6,0.06,0.16779687726240286
7,0.07,0.16779687726240286
8,0.08,0.16779687726240286
9,0.09,0.16779687726240286
10,0.1,0.16779687726240286
11,0.11,0.16779687726240286
12,0.12,0.17569581911394808
13,0.13,0.17569581911394808
14,0.14,0.17569581911394808
15,0.15,0.17569581911394808
16,0.16,0.17569581911394808
17,0.17,0.17569581911394808
18,0.18,0.17569581911394808
19,0.19,0.17569581911394808
20,0.2,0.17569581911394808
21,0.21,0.17569581911394808
22,0.22,0.17569581911394808
23,0.23,0.18581549480567608
24,0.24,0.18581549480567608
25,0.25,0.18581549480567608
26,0.26,0.18581549480567608
27,0.27,0.18581549480567608
28,0.28,0.18581549480567608
29,0.29,0.18581549480567608
30,0.3,0.18581549480567608
31,0.31,0.18581549480567608
32,0.32,0.18581549480567608
33,0.33,0.18581549480567608
34,0.34,0.5660908565808992
35,0.35000000000000003,0.5660908565808992
36,0.36,0.5660908565808992
37,0.37,0.5660908565808992
38,0.38,0.5660908565808992
39,0.39,0.5660908565808992
40,0.4,0.5660908565808992
41,0.41000000000000003,0.5660908565808992
42,0.42,0.5660908565808992
43,0.43,0.5660908565808992
44,0.44,0.5660908565808992
45,0.45,0.5786828638290472
46,0.46,0.5786828638290472
47,0.47000000000000003,0.5786828638290472
48,0.48,0.5786828638290472
49,0.49,0.5786828638290472
50,0.5,0.5786828638290472
51,0.51,0.5786828638290472
52,0.52,0.5786828638290472
53,0.53,0.5786828638290472
54,0.54,0.5786828638290472
55,0.55,0.5786828638290472
56,0.56,0.6433922902977921
57,0.5700000000000001,0.6433922902977921
58,0.58,0.6433922902977921
59,0.59,0.6433922902977921
60,0.6,0.6433922902977921
61,0.61,0.6433922902977921
62,0.62,0.6433922902977921
63,0.63,0.6433922902977921
64,0.64,0.6433922902977921
65,0.65,0.6433922902977921
66,0.66,0.6433922902977921
67,0.67,0.9333261919482296
68,0.68,0.9333261919482296
69,0.6900000000000001,0.9333261919482296
70,0.7000000000000001,0.9333261919482296
71,0.71,0.9333261919482296
72,0.72,0.9333261919482296
73,0.73,0.9333261919482296
74,0.74,0.9333261919482296
75,0.75,0.9333261919482296
76,0.76,0.9333261919482296
77,0.77,0.9333261919482296
78,0.78,1.0110602206214547
79,0.79,1.0110602206214547
80,0.8,1.0110602206214547
81,0.81,1.0110602206214547
82,0.8200000000000001,1.0110602206214547
83,0.8300000000000001,1.0110602206214547
84,0.84,1.0110602206214547
85,0.85,1.0110602206214547
86,0.86,1.0110602206214547
87,0.87,1.0110602206214547
88,0.88,1.0110602206214547
89,0.89,2.140415038956048
90,0.9,2.140415038956048
91,0.91,2.140415038956048
92,0.92,2.140415038956048
93,0.93,2.140415038956048
94,0.9400000000000001,2.140415038956048
95,0.9500000000000001,2.140415038956048
96,0.96,2.140415038956048
97,0.97,2.140415038956048
98,0.98,2.140415038956048
99,0.99,2.140415038956048
100,1.0,2.748347541309338
