,cdf,Min Deadline to Meet Target Deadline Miss Rate of 10.0%
0,0.0,0.0013214803286300185
1,0.01,0.0013214803286300185
2,0.02,0.0013214803286300185
3,0.03,0.0013214803286300185
4,0.04,0.0013214803286300185
5,0.05,0.0013214803286300185
6,0.06,0.0013214803286300185
7,0.07,0.0013214803286300185
8,0.08,0.0013214803286300185
9,0.09,0.0013214803286300185
10,0.1,0.0013214803286300185
11,0.11,0.0013214803286300185
12,0.12,0.001604404458741034
13,0.13,0.001604404458741034
14,0.14,0.001604404458741034
15,0.15,0.001604404458741034
16,0.16,0.001604404458741034
17,0.17,0.001604404458741034
18,0.18,0.001604404458741034
19,0.19,0.001604404458741034
20,0.2,0.001604404458741034
21,0.21,0.001604404458741034
22,0.22,0.001604404458741034
23,0.23,0.001604404458741034
24,0.24,0.001604404458741034
25,0.25,0.001604404458741034
26,0.26,0.001604404458741034
27,0.27,0.001604404458741034
28,0.28,0.001604404458741034
29,0.29,0.001604404458741034
30,0.3,0.001604404458741034
31,0.31,0.001604404458741034
32,0.32,0.001604404458741034
33,0.33,0.001604404458741034
34,0.34,0.003024521343213349
35,0.35000000000000003,0.003024521343213349
36,0.36,0.003024521343213349
37,0.37,0.003024521343213349
38,0.38,0.003024521343213349
39,0.39,0.003024521343213349
40,0.4,0.003024521343213349
41,0.41000000000000003,0.003024521343213349
42,0.42,0.003024521343213349
43,0.43,0.003024521343213349
44,0.44,0.003024521343213349
45,0.45,0.003024521343213349
46,0.46,0.003024521343213349
47,0.47000000000000003,0.003024521343213349
48,0.48,0.003024521343213349
49,0.49,0.003024521343213349
50,0.5,0.003024521343213349
51,0.51,0.003024521343213349
52,0.52,0.003024521343213349
53,0.53,0.003024521343213349
54,0.54,0.003024521343213349
55,0.55,0.003024521343213349
56,0.56,0.0033093535735422533
57,0.5700000000000001,0.0033093535735422533
58,0.58,0.0033093535735422533
59,0.59,0.0033093535735422533
60,0.6,0.0033093535735422533
61,0.61,0.0033093535735422533
62,0.62,0.0033093535735422533
63,0.63,0.0033093535735422533
64,0.64,0.0033093535735422533
65,0.65,0.0033093535735422533
66,0.66,0.0033093535735422533
67,0.67,0.0033093535735422533
68,0.68,0.0033093535735422533
69,0.6900000000000001,0.0033093535735422533
70,0.7000000000000001,0.0033093535735422533
71,0.71,0.0033093535735422533
72,0.72,0.0033093535735422533
73,0.73,0.0033093535735422533
74,0.74,0.0033093535735422533
75,0.75,0.0033093535735422533
76,0.76,0.0033093535735422533
77,0.77,0.0033093535735422533
78,0.78,0.005294947330512906
79,0.79,0.005294947330512906
80,0.8,0.005294947330512906
81,0.81,0.005294947330512906
82,0.8200000000000001,0.005294947330512906
83,0.8300000000000001,0.005294947330512906
84,0.84,0.005294947330512906
85,0.85,0.005294947330512906
86,0.86,0.005294947330512906
87,0.87,0.005294947330512906
88,0.88,0.005294947330512906
89,0.89,0.03655264959769098
90,0.9,0.03655264959769098
91,0.91,0.03655264959769098
92,0.92,0.03655264959769098
93,0.93,0.03655264959769098
94,0.9400000000000001,0.03655264959769098
95,0.9500000000000001,0.03655264959769098
96,0.96,0.03655264959769098
97,0.97,0.03655264959769098
98,0.98,0.03655264959769098
99,0.99,0.03655264959769098
100,1.0,0.18140901077910365
