,cdf,Number of Prompt Tokens
0,0.0,987.3275003578432
1,0.01,987.3275003578432
2,0.02,987.3275003578432
3,0.03,987.3275003578432
4,0.04,987.3275003578432
5,0.05,987.3275003578432
6,0.06,987.3275003578432
7,0.07,987.3275003578432
8,0.08,987.3275003578432
9,0.09,987.3275003578432
10,0.1,987.3275003578432
11,0.11,987.3275003578432
12,0.12,1065.2894483097232
13,0.13,1065.2894483097232
14,0.14,1065.2894483097232
15,0.15,1065.2894483097232
16,0.16,1065.2894483097232
17,0.17,1065.2894483097232
18,0.18,1065.2894483097232
19,0.19,1065.2894483097232
20,0.2,1065.2894483097232
21,0.21,1065.2894483097232
22,0.22,1065.2894483097232
23,0.23,1065.2894483097232
24,0.24,1065.2894483097232
25,0.25,1065.2894483097232
26,0.26,1065.2894483097232
27,0.27,1065.2894483097232
28,0.28,1065.2894483097232
29,0.29,1065.2894483097232
30,0.3,1065.2894483097232
31,0.31,1065.2894483097232
32,0.32,1065.2894483097232
33,0.33,1065.2894483097232
34,0.34,1627.8281222919913
35,0.35000000000000003,1627.8281222919913
36,0.36,1627.8281222919913
37,0.37,1627.8281222919913
38,0.38,1627.8281222919913
39,0.39,1627.8281222919913
40,0.4,1627.8281222919913
41,0.41000000000000003,1627.8281222919913
42,0.42,1627.8281222919913
43,0.43,1627.8281222919913
44,0.44,1627.8281222919913
45,0.45,2954.256124606456
46,0.46,2954.256124606456
47,0.47000000000000003,2954.256124606456
48,0.48,2954.256124606456
49,0.49,2954.256124606456
50,0.5,2954.256124606456
51,0.51,2954.256124606456
52,0.52,2954.256124606456
53,0.53,2954.256124606456
54,0.54,2954.256124606456
55,0.55,2954.256124606456
56,0.56,2972.0349504213505
57,0.5700000000000001,2972.0349504213505
58,0.58,2972.0349504213505
59,0.59,2972.0349504213505
60,0.6,2972.0349504213505
61,0.61,2972.0349504213505
62,0.62,2972.0349504213505
63,0.63,2972.0349504213505
64,0.64,2972.0349504213505
65,0.65,2972.0349504213505
66,0.66,2972.0349504213505
67,0.67,3932.388413234427
68,0.68,3932.388413234427
69,0.6900000000000001,3932.388413234427
70,0.7000000000000001,3932.388413234427
71,0.71,3932.388413234427
72,0.72,3932.388413234427
73,0.73,3932.388413234427
74,0.74,3932.388413234427
75,0.75,3932.388413234427
76,0.76,3932.388413234427
77,0.77,3932.388413234427
78,0.78,4183.913282993846
79,0.79,4183.913282993846
80,0.8,4183.913282993846
81,0.81,4183.913282993846
82,0.8200000000000001,4183.913282993846
83,0.8300000000000001,4183.913282993846
84,0.84,4183.913282993846
85,0.85,4183.913282993846
86,0.86,4183.913282993846
87,0.87,4183.913282993846
88,0.88,4183.913282993846
89,0.89,5796.458394172815
90,0.9,5796.458394172815
91,0.91,5796.458394172815
92,0.92,5796.458394172815
93,0.93,5796.458394172815
94,0.9400000000000001,5796.458394172815
95,0.9500000000000001,5796.458394172815
96,0.96,5796.458394172815
97,0.97,5796.458394172815
98,0.98,5796.458394172815
99,0.99,5796.458394172815
100,1.0,7009.365424917211
