,cdf,Number of Total Tokens
0,0.0,1037.9488810825471
1,0.01,1037.9488810825471
2,0.02,1037.9488810825471
3,0.03,1037.9488810825471
4,0.04,1037.9488810825471
5,0.05,1037.9488810825471
6,0.06,1037.9488810825471
7,0.07,1037.9488810825471
8,0.08,1037.9488810825471
9,0.09,1037.9488810825471
10,0.1,1037.9488810825471
11,0.11,1037.9488810825471
12,0.12,1119.908024947517
13,0.13,1119.908024947517
14,0.14,1119.908024947517
15,0.15,1119.908024947517
16,0.16,1119.908024947517
17,0.17,1119.908024947517
18,0.18,1119.908024947517
19,0.19,1119.908024947517
20,0.2,1119.908024947517
21,0.21,1119.908024947517
22,0.22,1119.908024947517
23,0.23,1119.908024947517
24,0.24,1119.908024947517
25,0.25,1119.908024947517
26,0.26,1119.908024947517
27,0.27,1119.908024947517
28,0.28,1119.908024947517
29,0.29,1119.908024947517
30,0.3,1119.908024947517
31,0.31,1119.908024947517
32,0.32,1119.908024947517
33,0.33,1119.908024947517
34,0.34,1707.8695251466188
35,0.35000000000000003,1707.8695251466188
36,0.36,1707.8695251466188
37,0.37,1707.8695251466188
38,0.38,1707.8695251466188
39,0.39,1707.8695251466188
40,0.4,1707.8695251466188
41,0.41000000000000003,1707.8695251466188
42,0.42,1707.8695251466188
43,0.43,1707.8695251466188
44,0.44,1707.8695251466188
45,0.45,3099.5188838420167
46,0.46,3099.5188838420167
47,0.47000000000000003,3099.5188838420167
48,0.48,3099.5188838420167
49,0.49,3099.5188838420167
50,0.5,3099.5188838420167
51,0.51,3099.5188838420167
52,0.52,3099.5188838420167
53,0.53,3099.5188838420167
54,0.54,3099.5188838420167
55,0.55,3099.5188838420167
56,0.56,3118.171906471581
57,0.5700000000000001,3118.171906471581
58,0.58,3118.171906471581
59,0.59,3118.171906471581
60,0.6,3118.171906471581
61,0.61,3118.171906471581
62,0.62,3118.171906471581
63,0.63,3118.171906471581
64,0.64,3118.171906471581
65,0.65,3118.171906471581
66,0.66,3118.171906471581
67,0.67,4134.00634745748
68,0.68,4134.00634745748
69,0.6900000000000001,4134.00634745748
70,0.7000000000000001,4134.00634745748
71,0.71,4134.00634745748
72,0.72,4134.00634745748
73,0.73,4134.00634745748
74,0.74,4134.00634745748
75,0.75,4134.00634745748
76,0.76,4134.00634745748
77,0.77,4134.00634745748
78,0.78,4389.639111173677
79,0.79,4389.639111173677
80,0.8,4389.639111173677
81,0.81,4389.639111173677
82,0.8200000000000001,4389.639111173677
83,0.8300000000000001,4389.639111173677
84,0.84,4389.639111173677
85,0.85,4389.639111173677
86,0.86,4389.639111173677
87,0.87,4389.639111173677
88,0.88,4389.639111173677
89,0.89,6081.474149278971
90,0.9,6081.474149278971
91,0.91,6081.474149278971
92,0.92,6081.474149278971
93,0.93,6081.474149278971
94,0.9400000000000001,6081.474149278971
95,0.9500000000000001,6081.474149278971
96,0.96,6081.474149278971
97,0.97,6081.474149278971
98,0.98,6081.474149278971
99,0.99,6081.474149278971
100,1.0,7368.743397965373
